"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"420005";"Abdon Batista";35;2010
"420010";"Abelardo Luz";264;2010
"420020";"Agrolândia";127;2010
"420030";"Agronômica";59;2010
"420040";"Água Doce";89;2010
"420050";"Águas de Chapecó";96;2010
"420055";"Águas Frias";25;2010
"420060";"Águas Mornas";51;2010
"420070";"Alfredo Wagner";126;2010
"420075";"Alto Bela Vista";17;2010
"420080";"Anchieta";84;2010
"420090";"Angelina";68;2010
"420100";"Anita Garibaldi";106;2010
"420110";"Anitápolis";35;2010
"420120";"Antônio Carlos";105;2010
"420125";"Apiúna";109;2010
"420127";"Arabutã";37;2010
"420130";"Araquari";387;2010
"420140";"Araranguá";886;2010
"420150";"Armazém";104;2010
"420160";"Arroio Trinta";31;2010
"420165";"Arvoredo";31;2010
"420170";"Ascurra";74;2010
"420180";"Atalanta";32;2010
"420190";"Aurora";68;2010
"420195";"Balneário Arroio do Silva";113;2010
"420205";"Balneário Barra do Sul";88;2010
"420200";"Balneário Camboriú";1334;2010
"420207";"Balneário Gaivota";114;2010
"421280";"Balneário Piçarras";250;2010
"422000";"Balneário Rincão";NA;2010
"420208";"Bandeirante";23;2010
"420209";"Barra Bonita";22;2010
"420210";"Barra Velha";325;2010
"420213";"Bela Vista do Toldo";61;2010
"420215";"Belmonte";30;2010
"420220";"Benedito Novo";121;2010
"420230";"Biguaçu";808;2010
"420240";"Blumenau";4066;2010
"420243";"Bocaina do Sul";38;2010
"420250";"Bom Jardim da Serra";50;2010
"420253";"Bom Jesus";33;2010
"420257";"Bom Jesus do Oeste";24;2010
"420260";"Bom Retiro";133;2010
"420245";"Bombinhas";217;2010
"420270";"Botuverá";39;2010
"420280";"Braço do Norte";394;2010
"420285";"Braço do Trombudo";48;2010
"420287";"Brunópolis";29;2010
"420290";"Brusque";1499;2010
"420300";"Caçador";1121;2010
"420310";"Caibi";53;2010
"420315";"Calmon";70;2010
"420320";"Camboriú";1062;2010
"420330";"Campo Alegre";131;2010
"420340";"Campo Belo do Sul";95;2010
"420350";"Campo Erê";130;2010
"420360";"Campos Novos";459;2010
"420370";"Canelinha";121;2010
"420380";"Canoinhas";795;2010
"420325";"Capão Alto";24;2010
"420390";"Capinzal";315;2010
"420395";"Capivari de Baixo";329;2010
"420400";"Catanduvas";136;2010
"420410";"Caxambu do Sul";47;2010
"420415";"Celso Ramos";30;2010
"420417";"Cerro Negro";35;2010
"420419";"Chapadão do Lageado";34;2010
"420420";"Chapecó";2867;2010
"420425";"Cocal do Sul";167;2010
"420430";"Concórdia";965;2010
"420435";"Cordilheira Alta";36;2010
"420440";"Coronel Freitas";88;2010
"420445";"Coronel Martins";20;2010
"420455";"Correia Pinto";188;2010
"420450";"Corupá";192;2010
"420460";"Criciúma";2538;2010
"420470";"Cunha Porã";114;2010
"420475";"Cunhataí";25;2010
"420480";"Curitibanos";627;2010
"420490";"Descanso";83;2010
"420500";"Dionísio Cerqueira";230;2010
"420510";"Dona Emma";52;2010
"420515";"Doutor Pedrinho";28;2010
"420517";"Entre Rios";43;2010
"420519";"Ermo";35;2010
"420520";"Erval Velho";37;2010
"420530";"Faxinal dos Guedes";160;2010
"420535";"Flor do Sertão";18;2010
"420540";"Florianópolis";5298;2010
"420543";"Formosa do Sul";33;2010
"420545";"Forquilhinha";309;2010
"420550";"Fraiburgo";567;2010
"420555";"Frei Rogério";25;2010
"420560";"Galvão";44;2010
"420570";"Garopaba";205;2010
"420580";"Garuva";250;2010
"420590";"Gaspar";743;2010
"420600";"Governador Celso Ramos";148;2010
"420610";"Grão Pará";72;2010
"420620";"Gravatal";123;2010
"420630";"Guabiruba";212;2010
"420640";"Guaraciaba";89;2010
"420650";"Guaramirim";473;2010
"420660";"Guarujá do Sul";66;2010
"420665";"Guatambú";57;2010
"420670";"Herval d'Oeste";269;2010
"420675";"Ibiam";14;2010
"420680";"Ibicaré";30;2010
"420690";"Ibirama";268;2010
"420700";"Içara";830;2010
"420710";"Ilhota";157;2010
"420720";"Imaruí";88;2010
"420730";"Imbituba";450;2010
"420740";"Imbuia";78;2010
"420750";"Indaial";819;2010
"420757";"Iomerê";18;2010
"420760";"Ipira";44;2010
"420765";"Iporã do Oeste";105;2010
"420768";"Ipuaçu";136;2010
"420770";"Ipumirim";88;2010
"420775";"Iraceminha";49;2010
"420780";"Irani";104;2010
"420785";"Irati";23;2010
"420790";"Irineópolis";129;2010
"420800";"Itá";83;2010
"420810";"Itaiópolis";291;2010
"420820";"Itajaí";2729;2010
"420830";"Itapema";624;2010
"420840";"Itapiranga";210;2010
"420845";"Itapoá";167;2010
"420850";"Ituporanga";330;2010
"420860";"Jaborá";34;2010
"420870";"Jacinto Machado";121;2010
"420880";"Jaguaruna";202;2010
"420890";"Jaraguá do Sul";2115;2010
"420895";"Jardinópolis";24;2010
"420900";"Joaçaba";339;2010
"420910";"Joinville";7279;2010
"420915";"José Boiteux";80;2010
"420917";"Jupiá";22;2010
"420920";"Lacerdópolis";20;2010
"420930";"Lages";2310;2010
"420940";"Laguna";589;2010
"420945";"Lajeado Grande";12;2010
"420950";"Laurentino";74;2010
"420960";"Lauro Muller";207;2010
"420970";"Lebon Régis";162;2010
"420980";"Leoberto Leal";47;2010
"420985";"Lindóia do Sul";50;2010
"420990";"Lontras";130;2010
"421000";"Luiz Alves";142;2010
"421003";"Luzerna";56;2010
"421005";"Macieira";26;2010
"421010";"Mafra";751;2010
"421020";"Major Gercino";24;2010
"421030";"Major Vieira";101;2010
"421040";"Maracajá";73;2010
"421050";"Maravilha";275;2010
"421055";"Marema";17;2010
"421060";"Massaranduba";184;2010
"421070";"Matos Costa";43;2010
"421080";"Meleiro";77;2010
"421085";"Mirim Doce";24;2010
"421090";"Modelo";41;2010
"421100";"Mondaí";104;2010
"421105";"Monte Carlo";129;2010
"421110";"Monte Castelo";119;2010
"421120";"Morro da Fumaça";239;2010
"421125";"Morro Grande";33;2010
"421130";"Navegantes";940;2010
"421140";"Nova Erechim";42;2010
"421145";"Nova Itaberaba";48;2010
"421150";"Nova Trento";130;2010
"421160";"Nova Veneza";148;2010
"421165";"Novo Horizonte";32;2010
"421170";"Orleans";254;2010
"421175";"Otacílio Costa";229;2010
"421180";"Ouro";88;2010
"421185";"Ouro Verde";24;2010
"421187";"Paial";23;2010
"421189";"Painel";19;2010
"421190";"Palhoça";2011;2010
"421200";"Palma Sola";113;2010
